strike,spot_price,ce_ltp,ce_iv,ce_delta,ce_gamma,ce_theta,ce_vega,fair_price,mispricing_pct,status
23900.0,23921.75,144.0,12.42,0.55,0.0,-15.24,10.03,137.71,4.57,Overvalued
23950.0,23921.75,118.0,12.37,0.49,0.0,-15.28,10.1,111.63,5.71,Overvalued
24000.0,23921.75,95.4,12.33,0.42,0.0,-14.95,9.91,88.98,7.21,Overvalued
24050.0,23921.75,76.2,12.34,0.36,0.0,-14.32,9.48,70.08,8.73,Overvalued
24100.0,23921.75,60.05,12.34,0.3,0.0,-13.36,8.85,54.18,10.83,Overvalued
24150.0,23921.75,46.9,12.41,0.25,0.0,-12.25,8.07,41.67,12.56,Overvalued
24200.0,23921.75,36.7,12.56,0.21,0.0,-11.11,7.23,32.11,14.3,Overvalued
24250.0,23921.75,28.55,12.7,0.17,0.0,-9.88,6.36,24.45,16.76,Overvalued
24300.0,23921.75,22.3,12.89,0.14,0.0,-8.72,5.53,18.69,19.34,Overvalued
24350.0,23921.75,17.4,13.09,0.11,0.0,-7.6,4.74,14.24,22.22,Overvalued
24400.0,23921.75,13.9,13.4,0.09,0.0,-6.69,4.08,11.17,24.4,Overvalued
